value,selfCitingPaperCount,paperCount,selfCitingDuplicatePaperCount,duplicatePaperCount
A*,25085,91641,551,9528
A,31060,209275,528,9813
B,30993,305934,576,12078
C,15348,180619,195,4476
Australasian,1212,6108,6,177
National,0,1970,0,6
L,0,195,0,0
Unranked,166,2272,1,92
Unranked*,272277,2474977,16604,136881
